ts,value
0,-2.478299124417787
1,-2.3609902106683167
2,-2.6216766856671407
3,-2.452230476917905
4,-2.6216766856671407
5,-2.3609902106683167
6,-2.7520199231665523
7,-2.1003037356694927
8,-1.8396172606706687
9,-2.0220977931698454
10,-1.5789307856718446
11,-1.4485875481724326
12,-1.6832053756713743
13,-1.4485875481724326
14,-1.4485875481724326
15,-1.9699604981700807
16,-1.7092740231712567
17,-2.1003037356694927
18,-2.543470743167493
19,-2.3609902106683167
20,-2.4913334481677287
21,-2.72595127566667
22,-2.1003037356694927
23,-2.1003037356694927
24,-2.478299124417787
25,-1.9699604981700807
26,-1.8396172606706687
27,-2.17850967816914
28,-1.8396172606706687
29,-1.8396172606706687
30,-2.07423508816961
31,-1.9699604981700807
32,-1.5789307856718446
33,-1.474656195672315
34,-1.1879010731736086
35,-0.9272145981747847
36,-1.1618324256737265
37,-0.9272145981747847
38,-0.9272145981747847
39,-1.474656195672315
40,-1.1879010731736086
41,-1.4485875481724326
42,-1.9178232031703157
43,-1.8396172606706687
44,-1.8396172606706687
45,-2.256715620668787
46,-1.8396172606706687
47,-1.9699604981700807
48,-2.07423508816961
49,-1.7092740231712567
50,-1.5789307856718446
51,-1.800514289420845
52,-1.5789307856718446
53,-1.4485875481724326
54,-1.7092740231712567
55,-1.4485875481724326
56,-1.0575578356741968
57,-1.0054205406744319
58,-0.7968713606753728
59,-0.5361848856765488
60,-0.8750773031750199
61,-0.5361848856765488
62,-0.6665281231759608
63,-0.7447340656756078
64,-0.5361848856765488
65,-0.7968713606753728
66,-1.0054205406744319
67,-1.0575578356741968
68,-1.1879010731736086
69,-1.6180337569216683
70,-1.4485875481724326
71,-1.3182443106730206
72,-1.7223083469211977
73,-1.4485875481724326
74,-1.5789307856718446
75,-1.6832053756713743
76,-1.3182443106730206
77,-1.3182443106730206
78,-1.4485875481724326
79,-0.9272145981747847
80,-0.5361848856765488
81,-0.6665281231759608
82,-0.1451551731783128
83,-0.1451551731783128
84,-0.45797894317690163
85,-0.4058416481771368
86,-0.4058416481771368
87,-0.7447340656756078
88,-0.6665281231759608
89,-0.7968713606753728
90,-1.1618324256737265
91,-0.7968713606753728
92,-0.6665281231759608
93,-1.0445235119242555
94,-0.6665281231759608
95,-0.7968713606753728
96,-0.7708027131754904
97,-0.9272145981747847
98,-1.0575578356741968
99,-1.018454864424373
100,-0.7968713606753728
101,-0.9272145981747847
102,-1.2400383681733735
103,-0.7968713606753728
104,-0.2754984106777248
105,-0.1190865256784305
106,0.3762177768193351
107,0.3762177768193351
108,0.037325359320863775
109,0.24587453931992315
110,0.24587453931992315
111,-0.1190865256784305
112,-0.2754984106777248
113,-0.4058416481771368
114,-0.3797730006772545
115,-0.6665281231759608
116,-0.6665281231759608
117,-1.0445235119242555
118,-0.9272145981747847
119,-1.1748667494236675
120,-1.1748667494236675
121,-0.9272145981747847
122,-1.0575578356741968
123,-1.279141339423197
124,-1.0575578356741968
125,-1.0575578356741968
126,-1.1357637781738439
127,-0.9272145981747847
128,-0.5361848856765488
129,-0.1972924681780774
130,0.11553130182051116
131,0.24587453931992315
132,0.011256711820981475
133,0.11553130182051116
134,-0.01481193567890083
135,-0.2103267919280188
136,-0.2754984106777248
137,-0.1451551731783128
138,-0.4058416481771368
139,-0.2754984106777248
140,-0.1451551731783128
141,-0.47101326692684276
142,-0.2754984106777248
143,-0.01481193567890083
144,-0.3015670581776071
145,-0.2754984106777248
146,-0.5361848856765488
147,-0.8359743319251964
148,-0.7968713606753728
149,-0.7968713606753728
150,-0.953283245674667
151,-0.6665281231759608
152,-0.6665281231759608
153,-0.7708027131754904
154,-0.2754984106777248
155,-0.2754984106777248
156,-0.48404759067678393
157,-0.4058416481771368
158,-0.4058416481771368
159,-0.692596770675843
160,-0.5361848856765488
161,-0.5361848856765488
162,-0.9272145981747847
163,-0.5361848856765488
164,-0.6665281231759608
165,-1.083626483174079
166,-0.7968713606753728
167,-0.9272145981747847
168,-1.2400383681733735
169,-1.0575578356741968
170,-1.3182443106730206
171,-1.4225189006725503
172,-1.4485875481724326
173,-1.7092740231712567
174,-2.1524410306692574
175,-1.3182443106730206
176,-0.7968713606753728
177,-0.6404594756760784
178,-0.2754984106777248
179,-0.1451551731783128
180,-0.2494297631778425
181,-0.01481193567890083
182,-0.1451551731783128
183,-0.45797894317690163
184,-0.9272145981747847
185,-1.0575578356741968
186,-1.604999433171727
187,-1.3182443106730206
188,-1.3182443106730206
189,-1.8265829369207274
190,-1.4485875481724326
191,-1.4485875481724326
192,-1.9438918506701983
193,-1.4485875481724326
194,-1.4485875481724326
195,-1.8265829369207274
196,-1.5789307856718446
197,-1.5789307856718446
198,-1.8396172606706687
199,-1.3182443106730206
200,-0.7968713606753728
201,-0.5883221806763136
202,-0.1451551731783128
203,-0.1451551731783128
204,-0.3276357056774896
