ts,value
0,-2.3394597841801223
1,-2.314909443125038
2,-2.56041285367588
3,-2.413110807345375
4,-2.56041285367588
5,-2.314909443125038
6,-2.1921577378496173
7,-2.069406032574196
8,-1.8239026220233543
9,-1.7011509167479333
10,-1.5783992114725123
11,-1.4556475061970913
12,-1.4556475061970913
13,-1.4556475061970913
14,-1.4556475061970913
15,-1.5538488704174283
16,-1.7011509167479333
17,-2.069406032574196
18,-2.2903591020699543
19,-2.314909443125038
20,-2.4376611484004593
21,-2.2903591020699543
22,-2.069406032574196
23,-2.069406032574196
24,-1.9957550094089436
25,-1.9466543272987753
26,-1.8239026220233543
27,-1.8239026220233543
28,-1.8239026220233543
29,-1.8239026220233543
30,-1.8484529630784383
31,-1.9466543272987753
32,-1.5783992114725123
33,-1.283795118811502
34,-1.2101440956462493
35,-0.9646406850954073
36,-0.915540002985239
37,-0.9646406850954073
38,-0.9646406850954073
39,-1.0873923903708285
40,-1.2101440956462493
41,-1.4556475061970913
42,-1.5292985293623438
43,-1.8239026220233543
44,-1.8239026220233543
45,-1.7748019399131858
46,-1.8239026220233543
47,-1.9466543272987753
48,-1.6766005756928493
49,-1.7011509167479333
50,-1.5783992114725123
51,-1.5538488704174283
52,-1.5783992114725123
53,-1.4556475061970913
54,-1.5047481883072598
55,-1.4556475061970913
56,-1.0873923903708285
57,-1.0628420493157442
58,-0.8418889798199863
59,-0.5963855692691444
60,-0.670036592434397
61,-0.5963855692691444
62,-0.7191372745445654
63,-0.5963855692691444
64,-0.5963855692691444
65,-0.8418889798199863
66,-0.9400903440403232
67,-1.0873923903708285
68,-1.2101440956462493
69,-1.3574461419767545
70,-1.4556475061970913
71,-1.3328958009216703
72,-1.4801978472521755
73,-1.4556475061970913
74,-1.5783992114725123
75,-1.2592447777564177
76,-1.3328958009216703
77,-1.3328958009216703
78,-1.3083454598665862
79,-0.9646406850954073
80,-0.5963855692691444
81,-0.5963855692691444
82,-0.22813045344288144
83,-0.22813045344288144
84,-0.3017814766081342
85,-0.4736338639937234
86,-0.4736338639937234
87,-0.6454862513793128
88,-0.7191372745445654
89,-0.8418889798199863
90,-0.7436876155996495
91,-0.8418889798199863
92,-0.7191372745445654
93,-0.670036592434397
94,-0.7191372745445654
95,-0.8418889798199863
96,-1.0628420493157442
97,-0.9646406850954073
98,-1.0873923903708285
99,-0.915540002985239
100,-0.8418889798199863
101,-0.9646406850954073
102,-1.0137413672055757
103,-0.8418889798199863
104,-0.3508821587183024
105,-0.03172772500220766
106,0.26287636765880257
107,0.26287636765880257
108,0.18922534449354977
109,0.14012466238338156
110,0.14012466238338156
111,-0.10537874816746043
112,-0.3508821587183024
113,-0.4736338639937234
114,-0.6454862513793128
115,-0.7191372745445654
116,-0.7191372745445654
117,-0.792788297709818
118,-0.9646406850954073
119,-0.9646406850954073
120,-0.9646406850954073
121,-0.9646406850954073
122,-1.0873923903708285
123,-1.1119427314259125
124,-1.0873923903708285
125,-1.0873923903708285
126,-1.03829170826066
127,-0.9646406850954073
128,-0.5963855692691444
129,-0.12992908922254454
130,0.01737295710796056
131,0.14012466238338156
132,0.09102398027321333
133,0.01737295710796056
134,-0.10537874816746043
135,-0.12992908922254454
136,-0.3508821587183024
137,-0.22813045344288144
138,-0.37543249977338655
139,-0.3508821587183024
140,-0.22813045344288144
141,-0.39998284082847085
142,-0.3508821587183024
143,-0.10537874816746043
144,-0.10537874816746043
145,-0.3508821587183024
146,-0.5963855692691444
147,-0.792788297709818
148,-0.8418889798199863
149,-0.8418889798199863
150,-0.7682379566547338
151,-0.7191372745445654
152,-0.7191372745445654
153,-0.5718352282140603
154,-0.3508821587183024
