ts,value
0,-2.279288647242247
1,-2.5023156911930733
2,-2.7647004487822806
3,-2.279288647242247
4,-2.7647004487822806
5,-2.5023156911930733
6,-2.344884836639549
7,-2.239930933603866
8,-1.977546176014659
9,-1.8988307487378968
10,-1.7151614184254518
11,-1.5839690396308483
12,-1.5314920881130067
13,-1.5839690396308483
14,-1.5839690396308483
15,-1.8463537972200554
16,-1.8463537972200554
17,-2.239930933603866
18,-1.9250692244968175
19,-2.5023156911930733
20,-2.633508069987677
21,-1.977546176014659
22,-2.239930933603866
23,-2.239930933603866
24,-1.6626844669076104
25,-2.1087385548092628
26,-1.977546176014659
27,-1.6889229426665313
28,-1.977546176014659
29,-1.977546176014659
30,-1.7020421805459915
31,-2.1087385548092628
32,-1.7151614184254518
33,-1.3740612335594826
34,-1.3215842820416412
35,-1.059199524452434
36,-1.1903919032470376
37,-1.059199524452434
38,-1.059199524452434
39,-1.2953458062827206
40,-1.3215842820416412
41,-1.5839690396308483
42,-1.3478227578005617
43,-1.977546176014659
44,-1.977546176014659
45,-1.4790151365951654
46,-1.977546176014659
47,-2.1087385548092628
48,-1.5183728502335465
49,-1.8463537972200554
50,-1.7151614184254518
51,-1.426538185077324
52,-1.7151614184254518
53,-1.5839690396308483
54,-1.3347035199211015
55,-1.5839690396308483
56,-1.1903919032470376
57,-0.7705762911043063
58,-0.9280071456578305
59,-0.6656223880686233
60,-0.5606684850329403
61,-0.6656223880686233
62,-0.7968147668632268
63,-0.6000261986713216
64,-0.6656223880686233
65,-0.9280071456578305
66,-0.8099340047426872
67,-1.1903919032470376
68,-1.3215842820416412
69,-0.9280071456578305
70,-1.5839690396308483
71,-1.4527766608362447
72,-1.0723187623318944
73,-1.5839690396308483
74,-1.7151614184254518
75,-1.1510341896086564
76,-1.4527766608362447
77,-1.4527766608362447
78,-0.9936033350551322
79,-1.059199524452434
80,-0.6656223880686233
81,-0.5606684850329403
82,-0.2720452516848126
83,-0.2720452516848126
84,-0.32452220320265385
85,-0.5344300092740197
86,-0.5344300092740197
87,-0.6525031501891629
88,-0.7968147668632268
89,-0.9280071456578305
90,-0.6656223880686233
91,-0.9280071456578305
92,-0.7968147668632268
93,-0.5081915335150992
94,-0.7968147668632268
95,-0.9280071456578305
96,-0.6000261986713216
97,-1.059199524452434
98,-1.1903919032470376
99,-0.363879916841035
100,-0.9280071456578305
101,-1.059199524452434
102,-0.5869069607918612
103,-0.9280071456578305
104,-0.4032376304794162
105,-0.00966049409560546
106,0.25272426349360166
107,0.25272426349360166
108,0.17400883621683935
109,0.1215318846989981
110,0.1215318846989981
111,0.029697219542775703
112,-0.4032376304794162
113,-0.5344300092740197
114,-0.14085287289020904
115,-0.7968147668632268
116,-0.7968147668632268
117,-0.5213107713945594
118,-1.059199524452434
119,-0.5475492471534801
120,-0.5475492471534801
121,-1.059199524452434
122,-1.1903919032470376
